
"Quel avenir pour les papèteries de la Seine ?";"1. Quelles sont vos attentes quant à la transformation du site des anciennes papeteries  de la Seine ?";"";;"57da3899461b3969280cfd3a";"35-39 ans";"République";"Le projet en lui-même semble prometteur.Ce qui m'interpelle et je ne pense pas être le seul (loin de là), c'est ""la passerelle "" entre la papeterie et le quartier Anatole France.En effet, rien n'est fait pour amélioré la qualité de vie de ces habitants, les nuisances sonores ainsi que la pollution dues à l'autoroute A86 sont une aberration. La couverture totale de ce tronçon doit-être une priorité, c'est un enjeu majeur en terme de santé publique.Comment peut-on concevoir un nouveau site ""eco"" sans se soucier des habitants ainsi que des élèves (car je le rappelle ces nuisances se repercutent aussi sur le college republique) qui habitent/étudient à quelques mètres de ce nouveau programme ?L'initiative est porteuse de choses positives notamment en matière d'emploi mais n'oublions pas que des habitants attendent impatiemment depuis des dizaines d'années la couverture de ce tronçon."
"Quel avenir pour les papèteries de la Seine ?";"1. Quelles sont vos attentes quant à la transformation du site des anciennes papeteries  de la Seine ?";"";;"57d7a445461b3969280cfd37";"30-34 ans";"République";"À la jonction de deux autoroutes, une ligne ferroviaire aérienne, un ancien site industriel, des barres d'immeuble et une prison ; voilà le site.Il est tout naturel que ce site soit un poumon vert dans un quartier qui en a grandement besoin. De la nature, de la verdure en somme.Que ce projet inclut une architecture avec des dimensions mesurées (pas de gigantisme, exemple : l'ancienne cheminée).Ce qu'il nous manque : une boulangerie, une poste.Néanmoins, j'attire votre attention sur le point suivant.Comment entrevoir l'adéquation d'un tel site avec son environnement sans penser à couvrir cette portion de l'A86?Elle regroupe pourtant tous les flux de l'échangeur A86/A14 avant le péage donc quasi tout le trafic !La portion qui sera couverte n'a pas le quart de ces flux!De surcroît, nous avons des logements à 30m et un collège à 20m de l'A86.Je rappelle que des études démontrent l'augmentation des maladies respiratoires chroniques et de la mortalité dû à la pollution. Des études plus récentes démontrent également un impact sur l'espérance de vie dû aux nuisances sonores.Le projet apportera nécessairement plus de trafic, d'autant plus avec la création de la portière logistique.Trop cher me diriez vous ? Mais à combien estimez vous la santé de vos concitoyens?J'accueille très volontiers le projet, ne vous y trompez pas, mais ne pas inclure la couverture de cette portion de l'A86 est un non sens et une injustice car nous parlons bien ici de santé publique.Grégoire Mathieu"
"Quel avenir pour les papèteries de la Seine ?";"1. Quelles sont vos attentes quant à la transformation du site des anciennes papeteries  de la Seine ?";"";;"57da6dd7461b3969280cfd4c";"25-29 ans";"Université";"Ce projet décrit est très prometteur !Cependant je rejoins les commentaires précédents quant à la nécessité de couvrir la portion de la A86. Un tel projet va engendrer un nouvel afflux de circulation. Cela sera obligatoirement accompagné de pollution sonore (augmentation du nombre de camion + voitures des salariés) ainsi qu'une pollution dégagé par les véhicules. Il est nécessaire d'agir par étape afin que l'adhésion à ce projet soit optimal ! Si l'idée est de continuer à moderniser et relancer la vie au sein de Nanterre, il vous faudra montrer que vous êtes à l'écoute de ses habitants :)"
"Quel avenir pour les papèteries de la Seine ?";"1. Quelles sont vos attentes quant à la transformation du site des anciennes papeteries  de la Seine ?";"";;"57da8f80461b3969280cfd65";"30-34 ans";"Chemin-de-L'île";"Bonjour c'est un projet très sympathique qui va permettre une belle dynamique de quartier, encore plus de verdure et apporter de ce fait du bien être aux habitants! Malheureusement, la PRIORITÉ reste la couverture totale de l'A86. On ne peut décemment pas mettre en place un tel projet ""bien-être"" si l'autoroute n'est pas couverte: pollution, nuisances sonores,...<span style=""color: inherit; font-size: 1em; line-height: 1.6;"">Alors essayons de penser ""citoyens Nanterriens"" avant de penser à l’appât du gain!</span>"
"Quel avenir pour les papèteries de la Seine ?";"1. Quelles sont vos attentes quant à la transformation du site des anciennes papeteries  de la Seine ?";"";;"57daa345461b3969280cfd77";"30-34 ans";"Centre";"Ce projet semble en effet très intéressant, porteur de nombreuses thématiques ""en vogue"".J'abonde toutefois dans le sens des commentaires précédents: il est fort louable de vouloir développer un quartier du point de vue économique, mais la qualité de vie des riverains doit aussi être un objectif à part entière.<span style=""color: inherit; font-size: 1em;"">Loin de se gêner mutuellement, les solutions peuvent tout à fait être mises en place de manière concertée, chacune enrichissant l'autre : développer les commerces de proximité pour améliorer le tissu économique et dynamiser une véritable vie de quartier ; couvrir les voies rapides pour améliorer la qualité de l'air tout en disposant de nouveaux espaces dédiés par exemple au développement de ce fameux""poumon vert"" avec en sus, peut être à la clé, une gestion des eaux pluviales à la source (démarche qui participerait in fine à la lutte contre les inondations).</span><span style=""color: inherit; font-size: 1em;"">L'occasion est là, il est important de la saisir.</span>"
"Quel avenir pour les papèteries de la Seine ?";"1. Quelles sont vos attentes quant à la transformation du site des anciennes papeteries  de la Seine ?";"";;"56fbdced0672f89b510d8920";"45-49 ans";"Plateau Mont-Valérien";"Pour que ce que ce site puisse apporter à un maximum de personnes qu'ils soient Nanterriens ou non, et éviter un accroissement du flux de voitures qui ne serait pas forcément positif pour les habitants des quartiers alentours, il me semble important de prévoir des liaisons de transport public avec les différents quartiers de la ville et les 3 gares RER, voire même pourquoi pas, puisque nous sommes en bord de seine, une ligne de batobus."
"Quel avenir pour les papèteries de la Seine ?";"1. Quelles sont vos attentes quant à la transformation du site des anciennes papeteries  de la Seine ?";"André";;"57da888a461b3969280cfd62";"40-44 ans";"Université";"Bonjour,J'ai hâte de voir ce super projet aboutir et pour l'autoroute A86?Pouvez-vous me faire connaître le calendrier d'engagement des travaux de cette couverture de l'A86.Nous habitons à 160 ave de la république, depuis mai 2015.Les conditions de vie ne cessent de se dégrader en raison des nuisances dues au trafic routier A86.Merci beaucoup de votre réponse.André"
"Quel avenir pour les papèteries de la Seine ?";"1. Quelles sont vos attentes quant à la transformation du site des anciennes papeteries  de la Seine ?";"";;"57dacd5d461b3969280cfd90";"40-44 ans";"République";"Je suis très enthousiaste quant à la création de nombreux projets dans ce quartier en plein renouveau.Cependant, je ne comprends pas que la couverture de l'autoroute, de l'A86 et des différentes bretelles ne soient pas prioritaire. A en croire la motivation première de ce projet qui se veut écologique, pourquoi ne pas prendre en compte les nuisances acoustiques, particules d'échappement et autres émisent par ce couloir hautement polluant en tout sens.Je suis d'autant plus déçu que j'ai validé l'achat de mon logement car j'avais remarqué le projet de couverture de l'autoroute était prévu sur le site de l'EPADESA.Je suis également surpris par un refus de construire dans la future zone commerçante des commerces de proximité. Nous souffrons terriblement de ce type d'accès. Mini marché, une boulangerie serait les bienvenus pour tout un quartier qui est, pour l'heure, est obligé d'emprunter les transports en commun pratiquer la marche à pied cabas à la main.J'ajouterai que des commerces de proximité seraient également utiles aux personnes venant travaillé dans le nouveau pole ainsi que les autres personnes de passage.Ces commerces sont indispensables pour permettre une vie de quartier cohérente.Je reste malgré tout optimiste et j'espère que l'avis des riverains seront pris en compte (c'est l'objet de cette concertation)."
"Quel avenir pour les papèteries de la Seine ?";"1. Quelles sont vos attentes quant à la transformation du site des anciennes papeteries  de la Seine ?";"";;"57dacc6d461b3969280cfd8d";"25-29 ans";"République";"Ce projet semble très prometteur !Il manque effectivement une poste et une boulangerie dans le quartier. Quant à l'A86, je rejoins les autres commentaires sur sa couverture : elle doit être intégrée au projet, pour toutes les raisons déjà citées.Réduire les nuisances sonores et la pollution de l'air va de pair avec la création de ce petit poumon vert et tertiaire."
"Quel avenir pour les papèteries de la Seine ?";"1. Quelles sont vos attentes quant à la transformation du site des anciennes papeteries  de la Seine ?";"";;"57e0b9e6461b3969280cfdc9";"70-74 ans";"Chemin-de-L'île";"Une question le devenir du Beau Pavillon du directeur pourquoi ne pas en faire un accueil pour des expositions éphémères car il est magnifique se serait dommage de ne pas le garder, pour ce qui du projet j'ai un doute sur le vieillissement de toutes ses constructions nouvelles qui se font sur Nanterre quand on regarde comment cela devient "
